Condition,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,IR_background,IR,IR,IR,IR,CTL,CTL,CTL,CTL,CTL_background,
C,,IR_background,IR,IR,IR,IR,CTL,CTL,CTL,CTL,CTL_background,
D,,IR_background,IR,IR,IR,IR,CTL,CTL,CTL,CTL,CTL_background,
E,,IR_background,IR,IR,IR,IR,CTL,CTL,CTL,CTL,CTL_background,
F,,IR_background,IR,IR,IR,IR,CTL,CTL,CTL,CTL,CTL_background,
G,,IR_background,IR,IR,IR,IR,CTL,CTL,CTL,CTL,CTL_background,
H,,,,,,,,,,,,
,,,,,,,,,,,,
ABT263 (µM),1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0,0,0,0,0,0,0,0,0,0,
C,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
D,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
E,,1,1,1,1,1,1,1,1,1,1,
F,,3,3,3,3,3,3,3,3,3,3,
G,,9,9,9,9,9,9,9,9,9,9,
H,,,,,,,,,,,,
